City,Beach,Date,Enterococcus
BERTIOGA,BORACÉIA - COL. MARISTA,07/01/2018,67
BERTIOGA,BORACÉIA - COL. MARISTA,14/01/2018,12
BERTIOGA,BORACÉIA - COL. MARISTA,21/01/2018,2
BERTIOGA,BORACÉIA - COL. MARISTA,28/01/2018,67
BERTIOGA,BORACÉIA - COL. MARISTA,04/02/2018,31
BERTIOGA,BORACÉIA - COL. MARISTA,11/02/2018,2
BERTIOGA,BORACÉIA - COL. MARISTA,18/02/2018,3
BERTIOGA,BORACÉIA - COL. MARISTA,25/02/2018,1
BERTIOGA,BORACÉIA - COL. MARISTA,04/03/2018,3
BERTIOGA,BORACÉIA - COL. MARISTA,11/03/2018,4
BERTIOGA,BORACÉIA - COL. MARISTA,18/03/2018,3
BERTIOGA,BORACÉIA - COL. MARISTA,25/03/2018,1
BERTIOGA,BORACÉIA - COL. MARISTA,01/04/2018,3
BERTIOGA,BORACÉIA - COL. MARISTA,08/04/2018,2
BERTIOGA,BORACÉIA - COL. MARISTA,15/04/2018,104
BERTIOGA,BORACÉIA - COL. MARISTA,22/04/2018,2
BERTIOGA,BORACÉIA - COL. MARISTA,29/04/2018,1
BERTIOGA,BORACÉIA - COL. MARISTA,06/05/2018,3
BERTIOGA,BORACÉIA - COL. MARISTA,13/05/2018,83
BERTIOGA,BORACÉIA - COL. MARISTA,20/05/2018,6
BERTIOGA,BORACÉIA - COL. MARISTA,27/05/2018,1
BERTIOGA,BORACÉIA - COL. MARISTA,03/06/2018,48
BERTIOGA,BORACÉIA - COL. MARISTA,10/06/2018,2
BERTIOGA,BORACÉIA - COL. MARISTA,17/06/2018,29
BERTIOGA,BORACÉIA - COL. MARISTA,24/06/2018,35
BERTIOGA,BORACÉIA - COL. MARISTA,01/07/2018,1
BERTIOGA,BORACÉIA - COL. MARISTA,08/07/2018,12
BERTIOGA,BORACÉIA - COL. MARISTA,15/07/2018,1
BERTIOGA,BORACÉIA - COL. MARISTA,22/07/2018,2
BERTIOGA,BORACÉIA - COL. MARISTA,29/07/2018,1
BERTIOGA,BORACÉIA - COL. MARISTA,05/08/2018,1
BERTIOGA,BORACÉIA - COL. MARISTA,12/08/2018,14
BERTIOGA,BORACÉIA - COL. MARISTA,19/08/2018,2
BERTIOGA,BORACÉIA - COL. MARISTA,26/08/2018,110
BERTIOGA,BORACÉIA - COL. MARISTA,02/09/2018,1
BERTIOGA,BORACÉIA - COL. MARISTA,09/09/2018,2
BERTIOGA,BORACÉIA - COL. MARISTA,16/09/2018,1
BERTIOGA,BORACÉIA - COL. MARISTA,23/09/2018,7
BERTIOGA,BORACÉIA - COL. MARISTA,30/09/2018,1
BERTIOGA,BORACÉIA - COL. MARISTA,07/10/2018,7
BERTIOGA,BORACÉIA - COL. MARISTA,14/10/2018,74
BERTIOGA,BORACÉIA - COL. MARISTA,21/10/2018,1
BERTIOGA,BORACÉIA - COL. MARISTA,28/10/2018,15
BERTIOGA,BORACÉIA - COL. MARISTA,04/11/2018,32
BERTIOGA,BORACÉIA - COL. MARISTA,11/11/2018,1
BERTIOGA,BORACÉIA - COL. MARISTA,18/11/2018,103
BERTIOGA,BORACÉIA - COL. MARISTA,25/11/2018,7
BERTIOGA,BORACÉIA - COL. MARISTA,02/12/2018,1
BERTIOGA,BORACÉIA - COL. MARISTA,09/12/2018,6
BERTIOGA,BORACÉIA - COL. MARISTA,16/12/2018,21
BERTIOGA,BORACÉIA - COL. MARISTA,23/12/2018,115
BERTIOGA,BORACÉIA - COL. MARISTA,30/12/2018,2
BERTIOGA,BORACÉIA - SUL,07/01/2018,65
BERTIOGA,BORACÉIA - SUL,14/01/2018,3
BERTIOGA,BORACÉIA - SUL,21/01/2018,1
BERTIOGA,BORACÉIA - SUL,28/01/2018,71
BERTIOGA,BORACÉIA - SUL,04/02/2018,1
BERTIOGA,BORACÉIA - SUL,11/02/2018,2
BERTIOGA,BORACÉIA - SUL,18/02/2018,9
BERTIOGA,BORACÉIA - SUL,25/02/2018,3
BERTIOGA,BORACÉIA - SUL,04/03/2018,1
BERTIOGA,BORACÉIA - SUL,11/03/2018,5
BERTIOGA,BORACÉIA - SUL,18/03/2018,9
BERTIOGA,BORACÉIA - SUL,25/03/2018,1
BERTIOGA,BORACÉIA - SUL,01/04/2018,7
BERTIOGA,BORACÉIA - SUL,08/04/2018,1
BERTIOGA,BORACÉIA - SUL,15/04/2018,128
BERTIOGA,BORACÉIA - SUL,22/04/2018,1
BERTIOGA,BORACÉIA - SUL,29/04/2018,27
BERTIOGA,BORACÉIA - SUL,06/05/2018,1
BERTIOGA,BORACÉIA - SUL,13/05/2018,21
BERTIOGA,BORACÉIA - SUL,20/05/2018,3
BERTIOGA,BORACÉIA - SUL,27/05/2018,1
BERTIOGA,BORACÉIA - SUL,03/06/2018,20
BERTIOGA,BORACÉIA - SUL,10/06/2018,4
BERTIOGA,BORACÉIA - SUL,17/06/2018,45
BERTIOGA,BORACÉIA - SUL,24/06/2018,29
BERTIOGA,BORACÉIA - SUL,01/07/2018,1
BERTIOGA,BORACÉIA - SUL,08/07/2018,9
BERTIOGA,BORACÉIA - SUL,15/07/2018,2
BERTIOGA,BORACÉIA - SUL,22/07/2018,2
BERTIOGA,BORACÉIA - SUL,29/07/2018,1
BERTIOGA,BORACÉIA - SUL,05/08/2018,1
BERTIOGA,BORACÉIA - SUL,12/08/2018,38
BERTIOGA,BORACÉIA - SUL,19/08/2018,3
BERTIOGA,BORACÉIA - SUL,26/08/2018,105
BERTIOGA,BORACÉIA - SUL,02/09/2018,2
BERTIOGA,BORACÉIA - SUL,09/09/2018,4
BERTIOGA,BORACÉIA - SUL,16/09/2018,1
BERTIOGA,BORACÉIA - SUL,23/09/2018,1
BERTIOGA,BORACÉIA - SUL,30/09/2018,1
BERTIOGA,BORACÉIA - SUL,07/10/2018,8
BERTIOGA,BORACÉIA - SUL,14/10/2018,50
BERTIOGA,BORACÉIA - SUL,21/10/2018,3
BERTIOGA,BORACÉIA - SUL,28/10/2018,51
BERTIOGA,BORACÉIA - SUL,04/11/2018,11
BERTIOGA,BORACÉIA - SUL,11/11/2018,2
BERTIOGA,BORACÉIA - SUL,18/11/2018,89
BERTIOGA,BORACÉIA - SUL,25/11/2018,4
